train_loss,val_loss,val_accuracy,val_f1_score,val_f2_score,val_f3_score,val_negative_predictive_value,val_positive_predictive_value,val_roc_auc,val_sensitivity,val_specificity,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9648070931434631,0.9821861386299133,0.4231249988079071,0.5946420431137085,0.7857474684715271,0.880020797252655,0.0,0.4231249988079071,0.5574950575828552,1.0,0.0,0,125,1760360607,checkpoint_000000,True,False,1,fb1b0b1c,2025-10-13_16-03-30,81.76129484176636,81.76129484176636,2313271,alex-MS-7996,192.168.1.241,81.76129484176636,1
0.956922173500061,0.7960419654846191,0.668749988079071,0.6860189437866211,0.7784350514411926,0.8150337934494019,0.833616316318512,0.5727003216743469,0.7803866863250732,0.8552437424659729,0.5319610238075256,1,250,1760360680,checkpoint_000001,True,False,2,fb1b0b1c,2025-10-13_16-04-43,72.62219476699829,154.38348960876465,2313271,alex-MS-7996,192.168.1.241,154.38348960876465,2
0.5025688409805298,0.5457132458686829,0.8287500143051147,0.8040057420730591,0.8194808959960938,0.8247725367546082,0.8691695332527161,0.7794729471206665,0.90755695104599,0.8301329612731934,0.8277356624603271,2,375,1760360752,checkpoint_000002,True,False,3,fb1b0b1c,2025-10-13_16-05-54,71.96214556694031,226.34563517570496,2313271,alex-MS-7996,192.168.1.241,226.34563517570496,3
0.09984809160232544,0.3994031846523285,0.8650000095367432,0.8518518805503845,0.8899397850036621,0.9034041166305542,0.9316239356994629,0.795134425163269,0.9524253606796265,0.9172821044921875,0.8266522288322449,3,500,1760360825,checkpoint_000003,True,False,4,fb1b0b1c,2025-10-13_16-07-08,73.71280646324158,300.05844163894653,2313271,alex-MS-7996,192.168.1.241,300.05844163894653,4
0.21263904869556427,0.5323835015296936,0.8125,0.8113207817077637,0.8906379342079163,0.9206394553184509,0.9534206986427307,0.7064622044563293,0.938977837562561,0.9527326226234436,0.7096424698829651,4,625,1760360898,checkpoint_000004,True,False,5,fb1b0b1c,2025-10-13_16-08-20,71.92091798782349,371.97935962677,2313271,alex-MS-7996,192.168.1.241,371.97935962677,5
0.2557867765426636,0.37777259945869446,0.8725000023841858,0.8612244725227356,0.9040274024009705,0.9192564487457275,0.9454770684242249,0.7982345819473267,0.9590908288955688,0.9350073933601379,0.8266522288322449,5,750,1760360969,checkpoint_000005,True,False,6,fb1b0b1c,2025-10-13_16-09-31,71.11319756507874,443.09255719184875,2313271,alex-MS-7996,192.168.1.241,443.09255719184875,6
0.3512588143348694,0.384398490190506,0.8693749904632568,0.8520877361297607,0.8739837408065796,0.8815346360206604,0.9131944179534912,0.8179348111152649,0.9542257785797119,0.8892171382904053,0.8548212647438049,6,875,1760361040,checkpoint_000006,True,False,7,fb1b0b1c,2025-10-13_16-10-42,71.0361635684967,514.1287207603455,2313271,alex-MS-7996,192.168.1.241,514.1287207603455,7
0.38624411821365356,0.3974556624889374,0.8799999952316284,0.8598540425300598,0.8659217953681946,0.867963433265686,0.9029768705368042,0.8499278426170349,0.9550226926803589,0.8700147867202759,0.8873239159584045,7,1000,1760361112,checkpoint_000007,True,False,8,fb1b0b1c,2025-10-13_16-11-55,72.28552961349487,586.4142503738403,2313271,alex-MS-7996,192.168.1.241,586.4142503738403,8
0.7821324467658997,0.4643571078777313,0.8418750166893005,0.8362459540367126,0.9032438397407532,0.9280275702476501,0.9576502442359924,0.7442396283149719,0.9541473388671875,0.9542097449302673,0.7594799399375916,8,1125,1760361183,checkpoint_000008,True,False,9,fb1b0b1c,2025-10-13_16-13-06,70.79628801345825,657.2105383872986,2313271,alex-MS-7996,192.168.1.241,657.2105383872986,9
0.308778315782547,0.5697185397148132,0.8087499737739563,0.8115763664245605,0.9015048146247864,0.9360795617103577,0.972434937953949,0.695881724357605,0.9612032175064087,0.9734120965003967,0.6879739761352539,9,1250,1760361255,checkpoint_000009,True,False,10,fb1b0b1c,2025-10-13_16-14-17,71.0785961151123,728.2891345024109,2313271,alex-MS-7996,192.168.1.241,728.2891345024109,10
