train_loss,val_loss,val_accuracy,val_f1_score,val_f2_score,val_f3_score,val_negative_predictive_value,val_positive_predictive_value,val_roc_auc,val_sensitivity,val_specificity,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3011986017227173,0.5072240233421326,0.8212500214576721,0.8194444179534912,0.8976486921310425,0.927142858505249,0.9595959782600403,0.7155457735061646,0.9358220100402832,0.9586410522460938,0.7204766869544983,0,500,1760344665,checkpoint_000000,True,False,1,0057c4b9,2025-10-13_11-37-47,150.56864380836487,150.56864380836487,2167069,alex-MS-7996,192.168.1.241,150.56864380836487,1
0.14523139595985413,0.4263225197792053,0.8568750023841858,0.8464118242263794,0.895797848701477,0.9135659337043762,0.9414758086204529,0.7751842737197876,0.9451150894165039,0.9320531487464905,0.8017334938049316,1,1000,1760344764,checkpoint_000001,True,False,2,0057c4b9,2025-10-13_11-39-27,99.9668939113617,250.53553771972656,2167069,alex-MS-7996,192.168.1.241,250.53553771972656,2
0.027713626623153687,0.42759883403778076,0.8612499833106995,0.8537549376487732,0.9129332304000854,0.9345255494117737,0.9617918133735657,0.770511269569397,0.9494375586509705,0.95716392993927,0.7908992171287537,2,1500,1760344863,checkpoint_000002,True,False,3,0057c4b9,2025-10-13_11-41-05,98.3587634563446,348.89430117607117,2167069,alex-MS-7996,192.168.1.241,348.89430117607117,3
0.43810316920280457,0.3952082693576813,0.871874988079071,0.8598769903182983,0.9001144766807556,0.9143770933151245,0.9410319328308105,0.8002544641494751,0.9539600610733032,0.9290989637374878,0.8299024701118469,3,2000,1760344961,checkpoint_000003,True,False,4,0057c4b9,2025-10-13_11-42-44,98.54856443405151,447.4428656101227,2167069,alex-MS-7996,192.168.1.241,447.4428656101227,4
0.004929311107844114,0.6240629553794861,0.778124988079071,0.7898164391517639,0.8965053558349609,0.9387755393981934,0.9829931855201721,0.6590909361839294,0.9581698179244995,0.985228955745697,0.626218855381012,4,2500,1760345059,checkpoint_000004,True,False,5,0057c4b9,2025-10-13_11-44-22,98.03188729286194,545.4747529029846,2167069,alex-MS-7996,192.168.1.241,545.4747529029846,5
0.06828024983406067,0.3840266168117523,0.8799999952316284,0.866108775138855,0.8961039185523987,0.9065693616867065,0.9335705637931824,0.8203434348106384,0.9550291299819946,0.9172821044921875,0.8526543974876404,5,3000,1760345159,checkpoint_000005,True,False,6,0057c4b9,2025-10-13_11-46-01,98.91327834129333,644.388031244278,2167069,alex-MS-7996,192.168.1.241,644.388031244278,6
0.02609146758913994,0.36899036169052124,0.878125011920929,0.8672566413879395,0.9100000262260437,0.9251996874809265,0.9504950642585754,0.8042929172515869,0.9609358906745911,0.9409158229827881,0.8320693373680115,6,3500,1760345260,checkpoint_000006,True,False,7,0057c4b9,2025-10-13_11-47-42,101.2771635055542,745.6651947498322,2167069,alex-MS-7996,192.168.1.241,745.6651947498322,7
0.3821633458137512,0.3980066776275635,0.887499988079071,0.8719772696495056,0.8917660713195801,0.8985634446144104,0.9265212416648865,0.840877890586853,0.9545185565948486,0.905465304851532,0.8743228316307068,7,4000,1760345361,checkpoint_000007,True,False,8,0057c4b9,2025-10-13_11-49-23,101.15133857727051,846.8165333271027,2167069,alex-MS-7996,192.168.1.241,846.8165333271027,8
0.16273516416549683,0.35700905323028564,0.8881250023841858,0.8779822587966919,0.9205260276794434,0.9356385469436646,0.9592592716217041,0.8151898980140686,0.9654216766357422,0.9512555599212646,0.8418201804161072,8,4500,1760345464,checkpoint_000008,True,False,9,0057c4b9,2025-10-13_11-51-06,102.66211605072021,949.4786493778229,2167069,alex-MS-7996,192.168.1.241,949.4786493778229,9
0.03852211311459541,0.45704585313796997,0.8381249904632568,0.8361796140670776,0.9150055646896362,0.9446905851364136,0.977011501789093,0.7311946749687195,0.9664394855499268,0.9763663411140442,0.7367280721664429,9,5000,1760345564,checkpoint_000009,True,False,10,0057c4b9,2025-10-13_11-52-47,100.48317623138428,1049.9618256092072,2167069,alex-MS-7996,192.168.1.241,1049.9618256092072,10
