train_loss,val_loss,val_accuracy,val_f1_score,val_f2_score,val_f3_score,val_negative_predictive_value,val_positive_predictive_value,val_roc_auc,val_sensitivity,val_specificity,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33121758699417114,0.6024810075759888,0.7718750238418579,0.7745521664619446,0.8589041233062744,0.8912580013275146,0.9240121841430664,0.6656050682067871,0.8977437019348145,0.9261447787284851,0.6587215662002563,0,500,1760438875,checkpoint_000000,True,False,1,155e64ea,2025-10-14_13-47-58,172.491619348526,172.491619348526,2969940,alex-MS-7996,192.168.1.241,172.491619348526,1
0.21490168571472168,0.502450168132782,0.8068749904632568,0.801796019077301,0.8704735636711121,0.8960573673248291,0.9275766015052795,0.7086167931556702,0.9235570430755615,0.9231905341148376,0.7215601205825806,1,1000,1760438994,checkpoint_000001,True,False,2,155e64ea,2025-10-14_13-49-56,118.43825721740723,290.9298765659332,2969940,alex-MS-7996,192.168.1.241,290.9298765659332,2
0.038793258368968964,0.4602545201778412,0.8193749785423279,0.8176656365394592,0.8960176706314087,0.9255820512771606,0.9580925107002258,0.7136563658714294,0.9430058002471924,0.95716392993927,0.7183098793029785,2,1500,1760439112,checkpoint_000002,True,False,3,155e64ea,2025-10-14_13-51-55,118.27089190483093,409.20076847076416,2969940,alex-MS-7996,192.168.1.241,409.20076847076416,3
0.1446772664785385,0.40810173749923706,0.8443750143051147,0.8384166359901428,0.9042553305625916,0.9285611510276794,0.957880437374115,0.7476851940155029,0.9563589692115784,0.9542097449302673,0.7638136744499207,3,2000,1760439231,checkpoint_000003,True,False,4,155e64ea,2025-10-14_13-53-53,118.17973446846008,527.3805029392242,2969940,alex-MS-7996,192.168.1.241,527.3805029392242,4
0.007577176205813885,0.6261460781097412,0.7462499737739563,0.7661290168762207,0.8826652765274048,0.9298098683357239,0.9778188467025757,0.62795090675354,0.9546002149581909,0.9822747707366943,0.5731310844421387,4,2500,1760439349,checkpoint_000004,True,False,5,155e64ea,2025-10-14_13-55-51,118.06022667884827,645.4407296180725,2969940,alex-MS-7996,192.168.1.241,645.4407296180725,5
0.09265156090259552,0.39482685923576355,0.8537499904632568,0.8444148898124695,0.8981612324714661,0.9176300764083862,0.9456662535667419,0.7678355574607849,0.9588971138000488,0.9379615783691406,0.7919826507568359,5,3000,1760439467,checkpoint_000005,True,False,6,155e64ea,2025-10-14_13-57-49,118.3099455833435,763.750675201416,2969940,alex-MS-7996,192.168.1.241,763.750675201416,6
0.061189234256744385,0.3848927617073059,0.8568750023841858,0.8486450910568237,0.9057562351226807,0.9265406131744385,0.9541884660720825,0.7679426074028015,0.9646359086036682,0.9483013153076172,0.7898158431053162,6,3500,1760439586,checkpoint_000006,True,False,7,155e64ea,2025-10-14_13-59-48,118.4089765548706,882.1596517562866,2969940,alex-MS-7996,192.168.1.241,882.1596517562866,7
0.2894352972507477,0.4055991768836975,0.8837500214576721,0.8665710091590881,0.8817518353462219,0.8869310021400452,0.9173272848129272,0.8423988819122314,0.9523389339447021,0.892171323299408,0.8775731325149536,7,4000,1760439705,checkpoint_000007,True,False,8,155e64ea,2025-10-14_14-01-47,119.52055859565735,1001.680210351944,2969940,alex-MS-7996,192.168.1.241,1001.680210351944,8
0.7405439615249634,0.37576359510421753,0.8737499713897705,0.8620218634605408,0.902718186378479,0.917151153087616,0.9434194564819336,0.8017789125442505,0.9634100198745728,0.9320531487464905,0.8309859037399292,8,4500,1760439824,checkpoint_000008,True,False,9,155e64ea,2025-10-14_14-03-46,118.4042329788208,1120.0844433307648,2969940,alex-MS-7996,192.168.1.241,1120.0844433307648,9
0.07485709339380264,0.3854684829711914,0.8681250214576721,0.8581035733222961,0.9067652225494385,0.9242358207702637,0.9506329298019409,0.7876543402671814,0.9637765288352966,0.942392885684967,0.8136511445045471,9,5000,1760439941,checkpoint_000009,True,False,10,155e64ea,2025-10-14_14-05-44,117.83533358573914,1237.919776916504,2969940,alex-MS-7996,192.168.1.241,1237.919776916504,10
