,epoch,training_accuracy,training_f1_score,training_loss,validation_accuracy,validation_f1_score,validation_loss,parameter
0,0,0.6678571428571428,0.5550239234449761,0.6078952815797594,0.7,0.5813953488372093,0.5491270422935486,area
1,1,0.75,0.6728971962616822,0.5135891636212667,0.7083333333333334,0.6788990825688074,0.5595314055681229,area
2,2,0.7928571428571428,0.7433628318584071,0.42790014545122784,0.6833333333333333,0.6666666666666666,0.6152498126029968,area
3,3,0.7821428571428571,0.726457399103139,0.43404680490493774,0.5333333333333333,0.582089552238806,0.807879626750946,area
4,4,0.7892857142857143,0.728110599078341,0.42604496081670123,0.725,0.6597938144329897,0.5013600513339043,area
5,5,0.8571428571428571,0.8333333333333334,0.321113054951032,0.7666666666666667,0.6888888888888889,0.4446946829557419,area
6,6,0.9285714285714286,0.9152542372881356,0.21253536972734663,0.7666666666666667,0.6216216216216216,0.46687936037778854,area
7,7,0.9428571428571428,0.9304347826086956,0.15849056922727162,0.7583333333333333,0.6329113924050633,0.48608898371458054,area
8,8,0.9678571428571429,0.9613733905579399,0.10448366238011254,0.7666666666666667,0.6818181818181818,0.5261211395263672,area
9,9,0.9678571428571429,0.9613733905579399,0.07758103869855404,0.7666666666666667,0.6666666666666666,0.652964398264885,area
10,0,0.5785714285714286,0.46846846846846846,0.6841897567113241,0.6166666666666667,0.6166666666666667,0.6551131308078766,cbl
11,1,0.6607142857142857,0.5026178010471204,0.5744648377100626,0.5916666666666667,0.6016260162601627,0.649370551109314,cbl
12,2,0.7,0.6347826086956522,0.5257562001546224,0.6916666666666667,0.6605504587155964,0.6027176976203918,cbl
13,3,0.8071428571428572,0.7672413793103449,0.4336611032485962,0.725,0.6206896551724138,0.5661088079214096,cbl
14,4,0.8321428571428572,0.7911111111111111,0.364642009139061,0.6583333333333333,0.5176470588235295,0.7389033436775208,cbl
15,5,0.9107142857142857,0.8898678414096917,0.24605195389853585,0.7,0.6326530612244898,0.7387373372912407,cbl
16,6,0.9357142857142857,0.9230769230769231,0.16923768818378448,0.725,0.6206896551724138,0.8022852018475533,cbl
17,7,0.975,0.9704641350210971,0.09324138032065497,0.6583333333333333,0.594059405940594,1.05136376619339,cbl
18,8,0.9892857142857143,0.9871244635193133,0.04226333503093985,0.7,0.6470588235294118,1.1583237648010254,cbl
19,9,0.9857142857142858,0.9829059829059829,0.04982312975658311,0.6666666666666666,0.5652173913043478,1.4068662226200104,cbl
20,0,0.6464285714285715,0.2978723404255319,0.6413394146495395,0.75,0.7272727272727273,0.5440833792090416,ccros
21,1,0.7464285714285714,0.6602870813397129,0.5167111423280504,0.675,0.5894736842105263,0.527777299284935,ccros
22,2,0.7714285714285715,0.6701030927835051,0.4792148603333367,0.7666666666666667,0.7586206896551724,0.4953342229127884,ccros
23,3,0.8392857142857143,0.7761194029850746,0.3659280571672652,0.75,0.7368421052631579,0.4911789298057556,ccros
24,4,0.8714285714285714,0.8252427184466019,0.26605329745345646,0.7416666666666667,0.6990291262135923,0.5796840935945511,ccros
25,5,0.8714285714285714,0.8163265306122449,0.24669690595732796,0.7416666666666667,0.7155963302752294,0.6005772426724434,ccros
26,6,0.9464285714285714,0.9282296650717703,0.1459334534075525,0.7416666666666667,0.743801652892562,0.6456412747502327,ccros
27,7,0.9785714285714285,0.9711538461538461,0.10193857385052575,0.7333333333333333,0.6666666666666666,0.8742062151432037,ccros
28,8,0.9642857142857143,0.9523809523809523,0.08911426655120319,0.6916666666666667,0.6262626262626263,0.9632775187492371,ccros
29,9,0.9857142857142858,0.9809523809523809,0.04830087390210894,0.7416666666666667,0.752,1.1782896965742111,ccros
30,0,0.65,0.5196078431372549,0.6222307748264737,0.75,0.6739130434782609,0.4923879876732826,cdl
31,1,0.7571428571428571,0.7094017094017094,0.45990846554438275,0.6833333333333333,0.3448275862068966,0.7499462515115738,cdl
32,2,0.775,0.72,0.4501273102230496,0.7666666666666667,0.6,0.48746588826179504,cdl
33,3,0.8964285714285715,0.8687782805429864,0.2808977895312839,0.7916666666666666,0.7368421052631579,0.4654385820031166,cdl
34,4,0.925,0.9041095890410958,0.20071875676512718,0.7916666666666666,0.7191011235955056,0.4922010228037834,cdl
35,5,0.9571428571428572,0.9478260869565217,0.13792819364203346,0.7583333333333333,0.6881720430107527,0.7048985958099365,cdl
36,6,0.9714285714285714,0.9652173913043478,0.0659460077683131,0.7583333333333333,0.6233766233766234,0.8766899853944778,cdl
37,7,0.9857142857142858,0.9826086956521739,0.04658945991347233,0.75,0.6511627906976745,0.9041954576969147,cdl
38,8,0.9857142857142858,0.9824561403508771,0.03600647486746311,0.7333333333333333,0.6444444444444445,0.946386456489563,cdl
39,9,1.0,1.0,0.00923255947418511,0.775,0.7096774193548387,0.9719458371400833,cdl
40,0,0.7142857142857143,0.4936708860759494,0.5654773347907596,0.7666666666666667,0.7627118644067796,0.44858814030885696,cdo
41,1,0.8357142857142857,0.77,0.3908776458766725,0.7916666666666666,0.7619047619047619,0.3762151524424553,cdo
42,2,0.8571428571428571,0.8,0.3144289304812749,0.7416666666666667,0.6593406593406593,0.4703778028488159,cdo
43,3,0.8928571428571429,0.8543689320388349,0.2510320660140779,0.7333333333333333,0.627906976744186,0.51921696215868,cdo
44,4,0.9392857142857143,0.9170731707317074,0.1571934065885014,0.8,0.7692307692307693,0.46327582746744156,cdo
