train_loss,val_loss,val_accuracy,val_f1_score,val_f2_score,val_f3_score,val_negative_predictive_value,val_positive_predictive_value,val_roc_auc,val_sensitivity,val_specificity,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.41817033290863037,0.8102924227714539,0.6181250214576721,0.6744805574417114,0.8098771572113037,0.8679555654525757,0.8899999856948853,0.5274999737739563,0.7886940240859985,0.9350073933601379,0.3856987953186035,0,500,1760401452,checkpoint_000000,True,False,1,20be84a3,2025-10-14_03-24-14,159.20605444908142,159.20605444908142,2654564,alex-MS-7996,192.168.1.241,159.20605444908142,1
0.7223008871078491,0.5790849328041077,0.8125,0.7931034564971924,0.8259121179580688,0.837459921836853,0.8766626119613647,0.7438551187515259,0.8933284282684326,0.8493353128433228,0.7854821085929871,1,1000,1760401560,checkpoint_000001,True,False,2,20be84a3,2025-10-14_03-26-03,108.26263952255249,267.4686939716339,2654564,alex-MS-7996,192.168.1.241,267.4686939716339,2
0.0663200318813324,0.5869305729866028,0.7418749928474426,0.7597440481185913,0.8706666827201843,0.9152067303657532,0.9569892287254333,0.6266794800758362,0.9149888753890991,0.9645494818687439,0.5785481929779053,2,1500,1760401669,checkpoint_000002,True,False,3,20be84a3,2025-10-14_03-27-51,108.29115748405457,375.7598514556885,2654564,alex-MS-7996,192.168.1.241,375.7598514556885,3
0.17131094634532928,0.5972368717193604,0.7506250143051147,0.7686956524848938,0.8825878500938416,0.9284414052963257,0.9746376872062683,0.6326335668563843,0.9219678640365601,0.9793205261230469,0.5828819274902344,3,2000,1760401777,checkpoint_000003,True,False,4,20be84a3,2025-10-14_03-29-40,108.65632176399231,484.4161732196808,2654564,alex-MS-7996,192.168.1.241,484.4161732196808,4
0.01898384280502796,0.482527494430542,0.8212500214576721,0.8180661797523499,0.8923119902610779,0.9201488494873047,0.9517730474472046,0.7184357643127441,0.9347785115242004,0.9497784376144409,0.7269772291183472,4,2500,1760401885,checkpoint_000004,True,False,5,20be84a3,2025-10-14_03-31-28,107.93141293525696,592.3475861549377,2654564,alex-MS-7996,192.168.1.241,592.3475861549377,5
0.2935444414615631,0.5310772061347961,0.7825000286102295,0.7893462181091309,0.8851479887962341,0.9224674701690674,0.9599999785423279,0.6687179207801819,0.9327428936958313,0.9630723595619202,0.6500541567802429,5,3000,1760401993,checkpoint_000005,True,False,6,20be84a3,2025-10-14_03-33-15,107.86811089515686,700.2156970500946,2654564,alex-MS-7996,192.168.1.241,700.2156970500946,6
0.1139659509062767,0.44732430577278137,0.8506249785423279,0.8370825052261353,0.8776443600654602,0.8920528888702393,0.9222221970558167,0.7772151827812195,0.9359243512153625,0.9069423675537109,0.8093174695968628,6,3500,1760402101,checkpoint_000006,True,False,7,20be84a3,2025-10-14_03-35-04,108.05690741539001,808.2726044654846,2654564,alex-MS-7996,192.168.1.241,808.2726044654846,7
0.9581496119499207,0.4461648464202881,0.8568750023841858,0.8346570134162903,0.8460187315940857,0.8498750329017639,0.8890134692192078,0.8163841962814331,0.940192461013794,0.8537666201591492,0.8591549396514893,7,4000,1760402210,checkpoint_000007,True,False,8,20be84a3,2025-10-14_03-36-52,108.09850335121155,916.3711078166962,2654564,alex-MS-7996,192.168.1.241,916.3711078166962,8
0.5959661602973938,0.454534113407135,0.8487499952316284,0.8342465758323669,0.8722429275512695,0.885689377784729,0.9167686700820923,0.7777777910232544,0.9365805387496948,0.8995568752288818,0.8114842772483826,8,4500,1760402318,checkpoint_000008,True,False,9,20be84a3,2025-10-14_03-38-40,108.0988142490387,1024.4699220657349,2654564,alex-MS-7996,192.168.1.241,1024.4699220657349,9
0.030602477490901947,0.4713561236858368,0.8262500166893005,0.8213367462158203,0.8907164931297302,0.9165232181549072,0.9472954273223877,0.7269624471664429,0.9397491812705994,0.9438700079917908,0.7399783134460449,9,5000,1760402426,checkpoint_000009,True,False,10,20be84a3,2025-10-14_03-40-28,108.1937518119812,1132.663673877716,2654564,alex-MS-7996,192.168.1.241,1132.663673877716,10
