train_loss,val_loss,val_accuracy,val_f1_score,val_f2_score,val_f3_score,val_negative_predictive_value,val_positive_predictive_value,val_roc_auc,val_sensitivity,val_specificity,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.319082111120224,0.45994678139686584,0.8374999761581421,0.8293963074684143,0.8888888955116272,0.910662829875946,0.9402390718460083,0.7461629509925842,0.9359403848648071,0.9335302710533142,0.7670639157295227,0,125,1760476240,checkpoint_000000,True,False,1,db266846,2025-10-15_00-10-42,119.30702328681946,119.30702328681946,3288137,alex-MS-7996,192.168.1.241,119.30702328681946,1
0.13326504826545715,0.4641110599040985,0.8056250214576721,0.8090853095054626,0.9002732038497925,0.9354152083396912,0.9722222089767456,0.6922268867492676,0.9580200910568237,0.9734120965003967,0.6825568675994873,1,250,1760476343,checkpoint_000001,True,False,2,db266846,2025-10-15_00-12-26,103.67134618759155,222.978369474411,3288137,alex-MS-7996,192.168.1.241,222.978369474411,2
0.3497253358364105,0.3795164227485657,0.862500011920929,0.853723406791687,0.908062219619751,0.9277456402778625,0.9547218680381775,0.7762998938560486,0.962496280670166,0.9483013153076172,0.7995666265487671,2,375,1760476449,checkpoint_000002,True,False,3,db266846,2025-10-15_00-14-14,107.68177151679993,330.66014099121094,3288137,alex-MS-7996,192.168.1.241,330.66014099121094,3
0.15170252323150635,0.3224130868911743,0.9087499976158142,0.8942028880119324,0.9044268727302551,0.9078869819641113,0.9331103563308716,0.8776671290397644,0.9692336916923523,0.9113737344741821,0.9068255424499512,3,500,1760476554,checkpoint_000003,True,False,4,db266846,2025-10-15_00-15-57,103.13234448432922,433.79248547554016,3288137,alex-MS-7996,192.168.1.241,433.79248547554016,4
0.3082469701766968,0.41406357288360596,0.8512499928474426,0.8468468189239502,0.9177126884460449,0.944045901298523,0.9737206101417542,0.7502850890159607,0.9704066514968872,0.9719350337982178,0.7627302408218384,4,625,1760476658,checkpoint_000004,True,False,5,db266846,2025-10-15_00-17-40,103.367746591568,537.1602320671082,3288137,alex-MS-7996,192.168.1.241,537.1602320671082,5
0.19617046415805817,0.33869969844818115,0.8812500238418579,0.8723118305206299,0.9221369624137878,0.9400347471237183,0.964512050151825,0.8002465963363647,0.969516932964325,0.9586410522460938,0.8244853615760803,5,750,1760476761,checkpoint_000005,True,False,6,db266846,2025-10-15_00-19-23,102.81285524368286,639.973087310791,3288137,alex-MS-7996,192.168.1.241,639.973087310791,6
0.08585262298583984,0.3022129535675049,0.8968750238418579,0.8867536187171936,0.9260321259498596,0.939909815788269,0.962195098400116,0.8282051086425781,0.9735785722732544,0.9542097449302673,0.8548212647438049,6,875,1760476864,checkpoint_000006,True,False,7,db266846,2025-10-15_00-21-07,103.45854997634888,743.4316372871399,3288137,alex-MS-7996,192.168.1.241,743.4316372871399,7
0.4836995005607605,0.33905819058418274,0.9118750095367432,0.8981949687004089,0.9104215502738953,0.9145714044570923,0.9383407831192017,0.8785310983657837,0.9674109220504761,0.9187592267990112,0.9068255424499512,7,1000,1760476968,checkpoint_000007,True,False,8,db266846,2025-10-15_00-22-50,103.51286506652832,846.9445023536682,3288137,alex-MS-7996,192.168.1.241,846.9445023536682,8
0.684953510761261,0.3450579345226288,0.878125011920929,0.8695651888847351,0.9217243194580078,0.9405295848846436,0.9654731750488281,0.7946210503578186,0.9714645147323608,0.9601181745529175,0.8179848194122314,8,1125,1760477071,checkpoint_000008,True,False,9,db266846,2025-10-15_00-24-33,103.24883675575256,950.1933391094208,3288137,alex-MS-7996,192.168.1.241,950.1933391094208,9
0.49267104268074036,0.6660506725311279,0.8043749928474426,0.8108761310577393,0.9102007746696472,0.9489464163780212,0.9903537034988403,0.6860940456390381,0.9717797636985779,0.9911373853683472,0.6673889756202698,9,1250,1760477175,checkpoint_000009,True,False,10,db266846,2025-10-15_00-26-17,103.8466956615448,1054.0400347709656,3288137,alex-MS-7996,192.168.1.241,1054.0400347709656,10
